generation	fitness	corner	c	a1	a2	b1	b2	b3	x	o1	o2	wp	ww	we
0	53.1	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
1	53.2	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
2	54.0	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, -3]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
3	54.1	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 8, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
4	55.0	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
5	53.3	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
6	53.3	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -4, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -28, -22]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -2]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[103, 100, 100, 100, 100]
7	53.2	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, -3]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 2, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
8	54.8	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10003, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
9	54.8	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10003, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
10	53.1	[50, 50, 50, 47, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -4, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -8]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
11	53.4	[50, 50, 50, 47, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -4, -1, -1]	[-1, -4, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -8]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 10000, 10000, 10000]	[100, 100, 100, 100, 100]
12	53.5	[50, 50, 50, 50, 50]	[-20, -20, -20, -20, -20]	[0, 0, 0, 0, 0]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-1, -1, -1, -1, -1]	[-25, -25, -25, -25, -25]	[-5, -5, -5, -5, -5]	[-5, -5, -5, -5, -5]	[5, 5, 5, 5, 5]	[10000, 10000, 9998, 10000, 10000]	[100, 100, 100, 100, 100]
