generation	fitness	corner	c	a1	a2	b	o	x
0	36.9	[0, -180, -233, 103, -242]	[107, 78, -180, 3, 68]	[-166, -146, 137, -62, -165]	[179, 127, 239, 103, 50]	[-161, -62, 59, 237, 18]	[-97, 15, 76, -45, -80]	[-203, 111, 115, 28, -155]
1	38.0	[-138, 51, 242, -173, 193]	[-206, -232, -68, -190, -145]	[-164, -18, 103, 132, -3]	[-249, 231, -191, 42, 42]	[3, 16, -148, -230, 214]	[215, 244, -97, -93, -144]	[-19, -43, -44, 127, -140]
2	37.3	[0, -180, -233, 103, -242]	[107, 78, -180, 3, 68]	[-166, -146, 137, -62, -165]	[179, 127, 239, 103, 50]	[-161, -62, 59, 237, 18]	[-97, 15, 76, -45, -80]	[-203, 111, 115, 28, -155]
3	36.9	[87, 23, -69, -192, -49]	[160, 55, 31, -245, 82]	[-20, 25, 143, -58, 102]	[83, -185, -228, -239, -79]	[248, 192, 196, 142, 189]	[-182, 203, 55, 82, -36]	[247, 113, -126, 212, 155]
4	37.6	[-138, 51, 242, -173, 193]	[-206, -232, -68, -190, -145]	[-164, -18, 103, 132, -3]	[-249, 231, -191, 42, 42]	[3, 16, -148, -230, 214]	[215, 244, -97, -93, -144]	[-19, -43, -44, 127, -140]
5	36.1	[-138, 51, 242, -173, 193]	[-206, -232, -68, -190, -145]	[-164, -18, 103, 132, -3]	[-249, 231, -191, 42, 42]	[3, 16, -148, -230, 214]	[215, 244, -97, -93, -144]	[-19, -43, -44, 127, -140]
6	38.6	[105, 111, 137, 106, 102]	[208, 234, -90, -109, 169]	[71, -118, 15, 38, 72]	[234, 82, 40, 88, 228]	[136, -158, 11, -4, 220]	[-13, -41, 214, -28, 193]	[145, -129, -12, 206, -92]
7	37.4	[0, -180, -233, 103, -242]	[107, 78, -180, 3, 68]	[-166, -146, 137, -62, -165]	[179, 127, 239, 103, 50]	[-161, -62, 59, 237, 24]	[-97, 15, 76, -45, -80]	[-203, 111, 115, 28, -155]
8	36.6	[0, -180, -233, 103, -242]	[107, 78, -180, 3, 68]	[-166, -146, 137, -62, -165]	[179, 127, 239, 103, 50]	[-161, -62, 59, 237, 24]	[-97, 15, 76, -45, -80]	[-203, 111, 115, 28, -155]
9	36.8	[36, 164, 77, -247, -168]	[43, 81, -100, -211, -79]	[111, 73, -94, 159, -33]	[212, 10, 22, -46, 18]	[-185, -189, 77, 91, 138]	[211, -101, -126, 45, -247]	[82, -214, 65, -213, -127]
10	39.1	[0, -180, -233, 103, -242]	[107, 78, -180, 3, 68]	[-166, -146, 137, -62, -165]	[179, 127, 239, 103, 50]	[-161, -62, 59, 237, 24]	[-97, 15, 76, -45, -80]	[-203, 111, 115, 28, -155]
11	39.5	[105, 111, 137, 106, 102]	[208, 234, -90, -109, 169]	[34, -119, 9, -175, -240]	[234, 82, 40, 88, 15]	[136, -158, 11, -4, 220]	[-13, -41, 214, -28, 193]	[145, -129, -12, 206, -92]
